     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.19461E+00   0.20488E+00   0.16001E+01   0.27536E-02   0.22757E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19753E+00   0.19964E+00   0.15948E+01   0.27133E-02   0.21722E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20049E+00   0.19437E+00   0.15893E+01   0.26749E-02   0.20708E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20349E+00   0.18909E+00   0.15838E+01   0.26381E-02   0.19714E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20654E+00   0.18379E+00   0.15781E+01   0.26027E-02   0.18742E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20964E+00   0.17848E+00   0.15723E+01   0.25684E-02   0.17792E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21278E+00   0.17317E+00   0.15664E+01   0.25349E-02   0.16867E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21597E+00   0.16786E+00   0.15603E+01   0.25022E-02   0.15965E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21921E+00   0.16255E+00   0.15542E+01   0.24699E-02   0.15089E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22250E+00   0.15725E+00   0.15479E+01   0.24378E-02   0.14239E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22583E+00   0.15196E+00   0.15415E+01   0.24059E-02   0.13415E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22922E+00   0.14670E+00   0.15350E+01   0.23739E-02   0.12618E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23265E+00   0.14146E+00   0.15283E+01   0.23417E-02   0.11848E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23614E+00   0.13625E+00   0.15216E+01   0.23093E-02   0.11106E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23968E+00   0.13109E+00   0.15147E+01   0.22765E-02   0.10393E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.24327E+00   0.12597E+00   0.15077E+01   0.22433E-02   0.97075E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.24692E+00   0.12090E+00   0.15006E+01   0.22095E-02   0.90505E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25062E+00   0.11588E+00   0.14933E+01   0.21752E-02   0.84220E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25438E+00   0.11093E+00   0.14859E+01   0.21403E-02   0.78219E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25819E+00   0.10605E+00   0.14784E+01   0.21048E-02   0.72501E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.26206E+00   0.10124E+00   0.14708E+01   0.20686E-02   0.67064E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.26599E+00   0.96514E-01   0.14631E+01   0.20319E-02   0.61904E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.26998E+00   0.91874E-01   0.14552E+01   0.19945E-02   0.57019E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.27403E+00   0.87325E-01   0.14472E+01   0.19565E-02   0.52404E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.27813E+00   0.82873E-01   0.14391E+01   0.19180E-02   0.48053E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.28230E+00   0.78523E-01   0.14309E+01   0.18790E-02   0.43961E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.28654E+00   0.74280E-01   0.14225E+01   0.18394E-02   0.40123E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.29083E+00   0.70148E-01   0.14140E+01   0.17994E-02   0.36530E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.29519E+00   0.66131E-01   0.14054E+01   0.17589E-02   0.33175E-06   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
